city,state,soil_type,N,P,K,temperature,humidity,ph,rainfall,season,month,label
jaipur,rajasthan,sandy,30,21,24,39.5,42.1,8.0,20.0,Kharif,6,pulses
amritsar,punjab,alluvial,98,57,44,17.1,52.3,6.7,121.8,Kharif,7,maize
kolkata,west_bengal,alluvial,89,43,62,33.8,70.3,6.1,121.5,Kharif,8,jute
jodhpur,rajasthan,sandy,38,11,26,41.8,39.0,7.5,49.2,Kharif,7,pulses
kolkata,west_bengal,alluvial,87,30,47,26.0,77.7,6.6,248.1,Kharif,8,rice
siliguri,west_bengal,laterite,72,31,56,17.3,63.5,5.8,318.7,Kharif,9,rice
kolkata,west_bengal,alluvial,69,51,44,21.9,62.2,6.0,249.8,Kharif,7,jute
jaipur,rajasthan,sandy,33,17,24,34.1,27.5,7.7,98.9,Kharif,9,pulses
chennai,tamil_nadu,clay,89,51,67,30.6,68.5,6.5,111.6,Kharif,7,groundnut
chennai,tamil_nadu,clay,91,58,55,32.5,63.1,7.4,178.0,Annual,10,sugarcane
mahendragarh,haryana,sandy_loam,48,18,38,22.0,47.6,7.1,115.1,Rabi,2,wheat
lucknow,uttar_pradesh,alluvial,93,32,51,33.1,43.5,6.7,200.9,Rabi,2,wheat
madurai,tamil_nadu,loamy,90,47,60,29.5,65.3,6.9,154.9,Annual,11,sugarcane
mahendragarh,haryana,sandy_loam,57,30,38,28.3,36.8,8.0,123.8,Rabi,2,mustard
nagpur,maharashtra,black,104,64,59,31.1,52.5,6.1,126.2,Kharif,6,cotton
amritsar,punjab,alluvial,112,49,60,26.2,35.8,7.0,55.2,Kharif,6,maize
ludhiana,punjab,alluvial,78,59,38,15.4,47.7,7.2,140.6,Kharif,8,maize
chennai,tamil_nadu,clay,102,49,63,33.7,62.8,7.1,162.4,Annual,3,banana
thiruvananthapuram,kerala,laterite,71,32,65,25.2,86.8,5.2,289.1,Kharif,6,tapioca
siliguri,west_bengal,laterite,76,39,58,23.3,65.3,6.1,219.0,Kharif,7,rice
madurai,tamil_nadu,loamy,53,35,49,27.2,57.5,6.7,185.3,Annual,2,banana
jodhpur,rajasthan,sandy,44,25,23,25.2,36.1,7.5,74.9,Kharif,9,millets
jaipur,rajasthan,sandy,58,36,21,22.1,30.9,7.5,104.4,Rabi,1,barley
chennai,tamil_nadu,clay,81,43,57,33.6,62.7,6.9,158.4,Annual,5,banana
madurai,tamil_nadu,loamy,93,48,59,24.5,58.4,6.7,105.2,Kharif,7,groundnut
jodhpur,rajasthan,sandy,24,10,28,24.1,13.1,7.9,25.4,Kharif,6,millets
nagpur,maharashtra,black,62,35,45,19.0,53.8,6.9,90.4,Kharif,7,soybean
chennai,tamil_nadu,clay,105,38,45,34.3,58.9,7.0,233.0,Annual,2,banana
chennai,tamil_nadu,clay,104,40,56,27.5,74.8,6.1,157.1,Annual,2,sugarcane
nagpur,maharashtra,black,76,40,44,23.0,32.5,6.4,199.4,Kharif,8,soybean
nagpur,maharashtra,black,88,37,71,35.6,38.0,6.4,150.4,Kharif,7,soybean
ludhiana,punjab,alluvial,83,59,50,10.9,53.2,6.8,55.2,Kharif,9,rice
ludhiana,punjab,alluvial,71,68,45,12.0,59.2,7.4,149.7,Kharif,9,maize
nagpur,maharashtra,black,85,53,40,27.3,67.6,6.5,121.0,Kharif,8,cotton
lucknow,uttar_pradesh,alluvial,94,37,35,20.0,67.6,7.2,83.0,Kharif,6,sugarcane
jodhpur,rajasthan,sandy,39,22,16,35.9,38.8,7.6,47.4,Kharif,8,pulses
kolkata,west_bengal,alluvial,84,54,49,29.1,65.3,6.0,189.1,Kharif,9,rice
pune,maharashtra,black,56,50,57,24.2,66.0,6.4,86.5,Kharif,9,sorghum
mahendragarh,haryana,sandy_loam,40,30,32,11.6,41.6,7.3,89.4,Rabi,11,barley
lucknow,uttar_pradesh,alluvial,62,40,36,18.8,68.8,6.6,100.2,Rabi,11,wheat
madurai,tamil_nadu,loamy,93,47,39,31.6,55.8,6.1,183.0,Kharif,9,groundnut
jaipur,rajasthan,sandy,55,34,21,25.3,34.5,7.0,83.3,Kharif,6,pulses
nagpur,maharashtra,black,99,40,44,32.7,34.3,6.5,171.9,Kharif,9,cotton
pune,maharashtra,black,77,40,60,21.2,69.2,6.6,79.2,Kharif,7,cotton
lucknow,uttar_pradesh,alluvial,97,35,45,11.6,51.0,7.1,91.9,Kharif,6,rice
kolkata,west_bengal,alluvial,74,37,58,20.6,63.0,6.8,230.2,Annual,3,tea
thiruvananthapuram,kerala,laterite,81,32,35,24.1,86.7,6.1,310.6,Kharif,6,rice
nagpur,maharashtra,black,104,39,53,20.6,40.8,6.5,93.5,Kharif,9,soybean
amritsar,punjab,alluvial,108,45,57,20.0,63.5,7.1,133.9,Kharif,6,maize
kolkata,west_bengal,alluvial,77,37,46,21.6,75.9,6.1,185.1,Kharif,6,jute
thiruvananthapuram,kerala,laterite,79,54,55,29.3,75.0,5.3,355.3,Kharif,7,tapioca
madurai,tamil_nadu,loamy,61,35,56,34.0,51.4,6.4,109.3,Annual,8,banana
nagpur,maharashtra,black,62,38,43,34.6,37.0,6.8,127.9,Kharif,9,soybean
ludhiana,punjab,alluvial,98,58,48,16.8,46.0,7.2,98.9,Rabi,12,wheat
thiruvananthapuram,kerala,laterite,64,33,42,29.9,85.7,5.6,228.5,Kharif,8,rice
jaipur,rajasthan,sandy,28,28,24,24.8,33.3,7.3,57.3,Kharif,9,pulses
jaipur,rajasthan,sandy,47,23,26,27.4,16.0,7.9,48.1,Kharif,7,pulses
ludhiana,punjab,alluvial,96,45,54,17.3,66.6,7.1,168.4,Kharif,9,sugarcane
madurai,tamil_nadu,loamy,86,47,62,25.0,60.3,6.5,200.7,Kharif,7,groundnut
pune,maharashtra,black,79,38,35,28.9,60.8,6.2,105.8,Rabi,2,wheat
chennai,tamil_nadu,clay,69,53,40,29.0,56.3,7.5,204.7,Annual,10,sugarcane
jodhpur,rajasthan,sandy,53,22,30,39.8,30.9,7.6,44.7,Kharif,9,millets
ludhiana,punjab,alluvial,83,44,41,16.0,59.4,6.6,122.0,Rabi,2,wheat
nagpur,maharashtra,black,96,58,41,35.6,48.6,6.1,158.4,Kharif,9,cotton
amritsar,punjab,alluvial,115,60,35,29.4,37.1,7.4,79.9,Kharif,9,rice
mahendragarh,haryana,sandy_loam,42,37,50,25.3,43.0,7.2,109.0,Kharif,9,bajra
chennai,tamil_nadu,clay,92,56,63,34.7,58.3,6.5,185.3,Kharif,6,groundnut
kolkata,west_bengal,alluvial,80,47,62,20.9,81.3,6.2,296.6,Kharif,7,jute
pune,maharashtra,black,91,45,48,29.3,61.6,6.3,185.7,Rabi,11,wheat
jodhpur,rajasthan,sandy,23,12,26,29.6,24.6,8.0,18.6,Kharif,8,pulses
kochi,kerala,loamy,94,53,44,25.3,88.3,5.6,297.7,Annual,8,banana
amritsar,punjab,alluvial,76,45,43,9.9,39.4,6.7,64.5,Kharif,6,rice
madurai,tamil_nadu,loamy,76,51,52,34.1,61.8,6.4,183.3,Annual,5,sugarcane
mahendragarh,haryana,sandy_loam,29,15,47,30.0,53.4,7.5,63.7,Kharif,7,bajra
chennai,tamil_nadu,clay,91,53,73,34.1,68.4,6.5,102.4,Kharif,8,groundnut
thiruvananthapuram,kerala,laterite,66,37,50,27.0,75.2,6.3,212.6,Annual,3,coconut
nagpur,maharashtra,black,99,64,50,30.8,41.4,7.0,177.5,Kharif,7,soybean
kochi,kerala,loamy,70,37,42,31.0,83.6,5.9,292.4,Annual,3,coconut
pune,maharashtra,black,92,40,57,17.8,50.7,7.0,134.7,Rabi,11,wheat
ludhiana,punjab,alluvial,101,64,34,33.6,67.8,6.7,195.5,Rabi,2,wheat
jodhpur,rajasthan,sandy,50,19,39,43.6,27.2,7.6,49.6,Kharif,8,pulses
jaipur,rajasthan,sandy,55,16,24,34.9,18.5,7.0,81.8,Rabi,11,barley
pune,maharashtra,black,55,40,38,26.6,41.8,6.5,169.4,Kharif,8,groundnut
thiruvananthapuram,kerala,laterite,51,32,52,30.8,82.2,6.4,394.7,Annual,4,coconut
siliguri,west_bengal,laterite,65,44,54,21.7,61.4,6.0,229.5,Annual,8,tea
kochi,kerala,loamy,79,53,40,26.0,80.3,6.5,418.6,Annual,6,pepper
ludhiana,punjab,alluvial,96,65,44,15.8,64.2,7.5,113.6,Kharif,9,rice
siliguri,west_bengal,laterite,74,27,39,17.7,71.9,6.3,347.3,Annual,10,tea
ludhiana,punjab,alluvial,70,53,50,32.7,52.4,7.1,156.5,Kharif,6,sugarcane
thiruvananthapuram,kerala,laterite,61,42,44,28.4,70.8,6.2,363.6,Kharif,7,rice
nagpur,maharashtra,black,74,35,40,20.8,42.0,6.6,149.1,Kharif,9,soybean
ludhiana,punjab,alluvial,81,55,59,26.6,47.3,6.6,91.6,Kharif,9,maize
ludhiana,punjab,alluvial,106,53,57,15.0,60.6,7.5,172.7,Kharif,9,maize
kolkata,west_bengal,alluvial,78,30,48,22.3,61.8,6.3,278.1,Annual,12,tea
amritsar,punjab,alluvial,73,48,46,17.9,62.4,6.9,74.8,Kharif,7,rice
jodhpur,rajasthan,sandy,31,34,18,35.2,15.0,7.8,32.1,Kharif,7,millets
lucknow,uttar_pradesh,alluvial,77,51,57,27.9,43.8,6.9,216.4,Kharif,8,sugarcane
mahendragarh,haryana,sandy_loam,48,39,35,20.3,56.8,7.2,48.3,Rabi,1,barley
jodhpur,rajasthan,sandy,55,29,37,40.3,25.8,8.0,48.6,Kharif,7,millets
thiruvananthapuram,kerala,laterite,79,32,38,30.6,86.6,5.7,248.5,Kharif,9,rice
kolkata,west_bengal,alluvial,88,49,56,30.7,70.3,6.7,125.2,Kharif,9,rice
lucknow,uttar_pradesh,alluvial,68,57,57,13.7,49.1,6.2,84.7,Kharif,7,rice
ludhiana,punjab,alluvial,74,40,54,21.1,52.9,6.7,54.9,Kharif,6,sugarcane
madurai,tamil_nadu,loamy,80,33,64,25.3,51.7,6.7,185.6,Kharif,6,groundnut
thiruvananthapuram,kerala,laterite,87,36,40,29.4,70.5,5.2,344.2,Kharif,7,rice
nagpur,maharashtra,black,82,40,72,32.1,54.5,6.5,69.6,Annual,6,oranges
lucknow,uttar_pradesh,alluvial,93,36,57,15.0,51.3,7.4,162.1,Kharif,6,sugarcane
kochi,kerala,loamy,87,60,63,28.9,77.8,6.2,226.8,Kharif,7,rice
lucknow,uttar_pradesh,alluvial,87,36,51,15.9,44.5,7.5,83.5,Rabi,2,wheat
ludhiana,punjab,alluvial,93,62,39,23.0,41.2,6.8,67.4,Kharif,9,rice
nagpur,maharashtra,black,103,61,68,22.1,46.3,7.0,119.9,Kharif,8,soybean
lucknow,uttar_pradesh,alluvial,83,35,35,36.0,59.7,6.2,143.2,Kharif,9,rice
madurai,tamil_nadu,loamy,57,34,47,27.2,64.8,6.1,209.5,Kharif,6,groundnut
amritsar,punjab,alluvial,82,50,41,22.5,64.7,6.6,140.6,Rabi,1,wheat
kochi,kerala,loamy,100,47,65,26.5,85.0,6.5,446.9,Annual,5,pepper
jodhpur,rajasthan,sandy,49,13,18,27.5,24.9,8.1,19.4,Kharif,7,pulses
ludhiana,punjab,alluvial,101,61,30,34.2,51.5,7.2,72.9,Rabi,11,wheat
chennai,tamil_nadu,clay,64,56,73,33.2,78.8,6.3,192.6,Annual,2,banana
jaipur,rajasthan,sandy,59,25,45,38.9,31.4,8.4,23.2,Kharif,8,pulses
siliguri,west_bengal,laterite,69,35,47,20.8,60.9,5.3,281.9,Annual,7,tea
thiruvananthapuram,kerala,laterite,60,45,48,25.1,82.9,5.7,204.1,Annual,12,coconut
madurai,tamil_nadu,loamy,85,51,52,29.4,61.9,6.9,150.9,Annual,11,banana
siliguri,west_bengal,laterite,73,37,54,23.8,79.2,5.4,162.3,Kharif,9,rice
chennai,tamil_nadu,clay,83,46,41,33.2,73.8,6.6,152.8,Annual,3,sugarcane
kolkata,west_bengal,alluvial,61,51,47,23.5,79.4,6.6,283.9,Kharif,8,jute
ludhiana,punjab,alluvial,91,45,30,22.5,41.1,7.2,113.4,Kharif,6,maize
jodhpur,rajasthan,sandy,21,32,30,34.9,39.6,7.9,37.3,Kharif,8,pulses
chennai,tamil_nadu,clay,66,57,53,28.0,70.1,7.1,137.7,Annual,8,sugarcane
chennai,tamil_nadu,clay,87,41,71,31.6,84.2,6.1,224.6,Kharif,8,groundnut
pune,maharashtra,black,53,39,60,30.3,56.9,7.0,160.5,Kharif,8,sorghum
chennai,tamil_nadu,clay,81,43,44,30.8,70.9,6.6,139.0,Annual,10,sugarcane
ludhiana,punjab,alluvial,97,61,47,16.5,52.4,6.8,127.3,Kharif,8,maize
madurai,tamil_nadu,loamy,51,50,57,28.7,54.7,6.5,172.5,Kharif,7,groundnut
lucknow,uttar_pradesh,alluvial,77,59,55,23.9,64.6,7.2,142.4,Kharif,9,sugarcane
chennai,tamil_nadu,clay,63,51,52,28.4,59.4,6.2,196.5,Annual,11,banana
nagpur,maharashtra,black,80,62,44,29.4,63.8,6.3,100.2,Kharif,9,soybean
amritsar,punjab,alluvial,95,47,38,10.9,35.8,7.3,77.3,Kharif,7,rice
jaipur,rajasthan,sandy,52,35,21,24.4,23.2,7.0,99.0,Kharif,9,pulses
nagpur,maharashtra,black,71,55,42,35.3,49.4,6.0,180.3,Annual,9,oranges
ludhiana,punjab,alluvial,74,68,60,19.0,50.9,7.2,63.5,Kharif,8,maize
lucknow,uttar_pradesh,alluvial,75,33,53,29.1,77.3,6.8,217.5,Kharif,7,sugarcane
thiruvananthapuram,kerala,laterite,81,32,42,28.8,83.9,5.5,363.1,Kharif,8,tapioca
kochi,kerala,loamy,70,57,53,25.0,77.6,6.5,309.9,Annual,12,pepper
nagpur,maharashtra,black,91,52,63,30.6,34.5,6.5,126.5,Annual,1,oranges
pune,maharashtra,black,73,45,58,30.6,35.7,7.0,144.8,Kharif,7,sorghum
lucknow,uttar_pradesh,alluvial,75,38,52,20.0,65.6,7.1,231.6,Kharif,6,sugarcane
madurai,tamil_nadu,loamy,65,44,47,22.1,74.0,6.9,208.5,Annual,9,sugarcane
nagpur,maharashtra,black,79,41,50,34.5,55.3,6.9,167.3,Kharif,7,cotton
siliguri,west_bengal,laterite,82,27,59,27.2,71.8,5.6,318.2,Annual,5,tea
kochi,kerala,loamy,65,46,72,24.5,81.3,6.2,336.9,Annual,2,pepper
kolkata,west_bengal,alluvial,84,31,60,29.0,78.9,6.8,144.5,Kharif,6,jute
siliguri,west_bengal,laterite,64,35,53,16.1,63.9,5.8,343.9,Annual,11,tea
lucknow,uttar_pradesh,alluvial,98,51,48,30.6,52.8,6.7,199.7,Kharif,7,sugarcane
nagpur,maharashtra,black,78,41,45,25.5,37.3,6.9,192.3,Kharif,8,cotton
chennai,tamil_nadu,clay,61,52,54,34.9,84.2,6.3,199.2,Annual,1,sugarcane
amritsar,punjab,alluvial,109,53,54,13.8,37.7,6.9,153.7,Rabi,2,wheat
ludhiana,punjab,alluvial,99,66,51,21.3,46.7,6.7,191.9,Rabi,2,wheat
lucknow,uttar_pradesh,alluvial,91,42,39,21.2,48.3,6.3,216.6,Rabi,1,wheat
kochi,kerala,loamy,66,56,49,24.2,89.6,5.7,312.7,Annual,7,coconut
pune,maharashtra,black,55,30,65,17.5,46.3,6.7,156.2,Kharif,9,sorghum
kochi,kerala,loamy,82,46,44,24.7,75.9,5.8,258.7,Annual,12,pepper
kolkata,west_bengal,alluvial,90,55,59,29.9,84.3,6.0,210.8,Annual,11,tea
siliguri,west_bengal,laterite,76,36,39,27.6,74.0,5.9,202.1,Kharif,9,rice
jodhpur,rajasthan,sandy,49,14,17,29.0,25.9,7.6,18.2,Kharif,8,pulses
mahendragarh,haryana,sandy_loam,42,38,31,33.2,31.3,7.9,99.7,Rabi,2,barley
thiruvananthapuram,kerala,laterite,70,43,63,25.3,83.3,5.7,389.0,Annual,9,coconut
jodhpur,rajasthan,sandy,32,14,16,27.1,11.1,7.8,59.4,Kharif,6,pulses
siliguri,west_bengal,laterite,56,39,46,27.9,74.0,5.7,172.5,Annual,8,tea
kochi,kerala,loamy,77,35,53,30.1,77.7,5.7,327.2,Annual,2,coconut
nagpur,maharashtra,black,97,41,40,27.5,52.8,6.4,70.8,Annual,11,oranges
thiruvananthapuram,kerala,laterite,56,40,35,26.3,87.7,5.2,262.2,Annual,11,coconut
ludhiana,punjab,alluvial,71,42,44,30.4,59.8,7.0,193.3,Kharif,7,maize
chennai,tamil_nadu,clay,81,36,68,27.9,76.9,7.1,242.8,Annual,1,banana
chennai,tamil_nadu,clay,63,60,58,27.9,56.7,6.1,241.8,Annual,4,sugarcane
siliguri,west_bengal,laterite,63,30,42,27.5,81.6,5.1,320.5,Annual,7,tea
amritsar,punjab,alluvial,88,60,59,31.8,39.6,6.8,136.1,Kharif,9,rice
kochi,kerala,loamy,93,38,62,28.7,87.5,6.0,322.4,Annual,11,banana
siliguri,west_bengal,laterite,73,44,48,16.2,70.6,5.6,187.3,Kharif,8,rice
madurai,tamil_nadu,loamy,52,46,45,34.7,66.9,6.6,179.9,Annual,2,banana
jaipur,rajasthan,sandy,43,29,33,21.7,39.0,7.5,118.4,Kharif,6,pulses
madurai,tamil_nadu,loamy,83,43,44,29.4,63.8,6.9,151.9,Annual,4,banana
jodhpur,rajasthan,sandy,26,24,36,37.8,34.4,7.9,51.0,Kharif,9,pulses
thiruvananthapuram,kerala,laterite,57,53,56,27.7,84.2,6.3,190.0,Kharif,6,tapioca
siliguri,west_bengal,laterite,65,43,58,20.9,76.8,5.9,203.0,Kharif,8,maize
lucknow,uttar_pradesh,alluvial,71,32,58,35.5,50.4,7.0,142.4,Kharif,7,rice
mahendragarh,haryana,sandy_loam,32,15,25,26.4,38.4,7.4,105.5,Rabi,2,wheat
kochi,kerala,loamy,94,53,65,29.6,76.3,5.6,247.7,Annual,5,pepper
lucknow,uttar_pradesh,alluvial,61,36,50,26.9,66.0,6.7,179.0,Kharif,7,rice
thiruvananthapuram,kerala,laterite,55,39,59,27.7,78.5,5.0,216.5,Kharif,7,tapioca
amritsar,punjab,alluvial,101,55,35,29.4,52.6,6.7,108.3,Kharif,9,maize
lucknow,uttar_pradesh,alluvial,81,30,38,26.4,68.5,7.5,221.2,Rabi,11,wheat
kochi,kerala,loamy,86,55,71,27.6,85.9,6.4,426.3,Annual,1,banana
lucknow,uttar_pradesh,alluvial,63,46,35,21.0,52.6,6.1,229.6,Rabi,12,wheat
siliguri,west_bengal,laterite,70,44,55,19.5,77.4,5.0,207.6,Kharif,6,rice
pune,maharashtra,black,78,37,67,19.2,66.8,6.3,144.3,Kharif,8,groundnut
lucknow,uttar_pradesh,alluvial,68,58,44,28.8,55.6,6.6,238.8,Kharif,9,sugarcane
madurai,tamil_nadu,loamy,80,55,62,24.1,55.2,6.7,92.1,Kharif,8,groundnut
jaipur,rajasthan,sandy,37,20,39,30.8,38.8,8.4,69.4,Kharif,7,bajra
pune,maharashtra,black,51,41,51,21.8,40.6,6.8,185.2,Kharif,6,soybean
mahendragarh,haryana,sandy_loam,52,18,39,15.7,42.5,7.5,149.2,Rabi,1,wheat
thiruvananthapuram,kerala,laterite,85,38,63,25.2,82.4,5.8,327.3,Annual,1,coconut
kochi,kerala,loamy,84,37,46,29.5,84.1,6.4,225.5,Kharif,9,rice
jodhpur,rajasthan,sandy,30,30,18,41.2,37.3,7.7,30.4,Kharif,6,millets
jaipur,rajasthan,sandy,31,19,40,28.0,39.6,7.2,40.2,Kharif,9,pulses
siliguri,west_bengal,laterite,81,50,50,19.4,72.6,5.1,224.5,Annual,4,tea
thiruvananthapuram,kerala,laterite,90,51,42,25.2,83.6,5.6,230.2,Annual,6,coconut
thiruvananthapuram,kerala,laterite,76,44,65,30.8,84.3,5.5,186.5,Annual,7,coconut
amritsar,punjab,alluvial,75,50,45,17.4,58.2,6.9,87.2,Rabi,11,wheat
mahendragarh,haryana,sandy_loam,58,24,33,20.1,47.2,7.6,59.6,Rabi,11,barley
kochi,kerala,loamy,55,47,73,28.3,77.2,5.9,361.0,Annual,6,banana
jodhpur,rajasthan,sandy,45,34,21,41.4,12.5,8.0,37.3,Kharif,8,pulses
kochi,kerala,loamy,89,48,53,24.6,83.3,6.0,389.3,Annual,9,coconut
amritsar,punjab,alluvial,104,58,43,13.3,58.2,7.2,158.4,Rabi,11,wheat
ludhiana,punjab,alluvial,86,60,46,17.6,41.4,7.2,68.7,Rabi,1,wheat
nagpur,maharashtra,black,60,49,61,35.7,62.2,7.0,139.2,Annual,12,oranges
madurai,tamil_nadu,loamy,72,39,44,30.7,70.4,6.6,99.6,Kharif,7,groundnut
siliguri,west_bengal,laterite,58,35,51,22.6,80.6,5.5,169.6,Kharif,7,maize
kochi,kerala,loamy,60,35,43,27.0,77.0,5.7,219.5,Annual,7,pepper
madurai,tamil_nadu,loamy,87,47,51,32.1,71.8,6.6,169.1,Kharif,9,groundnut
jaipur,rajasthan,sandy,51,20,24,31.1,29.5,7.7,116.8,Kharif,9,pulses
jodhpur,rajasthan,sandy,49,25,16,38.4,38.3,7.9,76.6,Kharif,7,millets
chennai,tamil_nadu,clay,67,46,58,24.5,59.6,6.6,248.5,Kharif,6,groundnut
nagpur,maharashtra,black,61,60,49,20.6,53.6,6.0,185.2,Kharif,9,soybean
nagpur,maharashtra,black,91,35,47,27.9,32.7,6.0,127.4,Kharif,7,cotton
nagpur,maharashtra,black,81,60,64,26.6,58.8,6.6,166.7,Annual,8,oranges
jodhpur,rajasthan,sandy,48,14,38,29.2,34.0,8.2,38.7,Kharif,9,pulses
pune,maharashtra,black,84,31,63,29.0,57.6,6.9,159.0,Kharif,8,groundnut
chennai,tamil_nadu,clay,79,52,47,31.7,57.6,7.4,172.1,Annual,12,banana
thiruvananthapuram,kerala,laterite,80,46,63,24.1,81.8,5.8,391.7,Kharif,7,rice
nagpur,maharashtra,black,105,61,68,19.5,51.3,6.3,142.4,Kharif,7,cotton
jaipur,rajasthan,sandy,52,20,33,20.5,30.8,7.6,29.1,Kharif,8,bajra
ludhiana,punjab,alluvial,79,45,38,28.7,44.6,7.5,151.8,Kharif,8,rice
mahendragarh,haryana,sandy_loam,36,15,42,11.5,35.6,7.3,73.7,Rabi,1,gram
kolkata,west_bengal,alluvial,90,33,41,22.8,82.6,6.6,208.7,Kharif,9,jute
thiruvananthapuram,kerala,laterite,57,38,36,26.5,80.0,5.1,186.4,Kharif,9,tapioca
madurai,tamil_nadu,loamy,67,47,65,29.6,52.5,6.8,171.2,Annual,1,sugarcane
amritsar,punjab,alluvial,98,42,62,23.5,41.1,7.5,84.8,Kharif,9,rice
amritsar,punjab,alluvial,105,54,36,7.0,48.9,7.3,74.7,Rabi,2,wheat
amritsar,punjab,alluvial,100,48,54,13.5,55.4,7.5,141.1,Rabi,11,wheat
pune,maharashtra,black,52,35,69,25.7,45.5,6.4,77.2,Rabi,1,wheat
amritsar,punjab,alluvial,97,46,54,20.1,59.1,7.4,153.4,Kharif,8,maize
madurai,tamil_nadu,loamy,78,38,42,30.6,58.0,6.2,214.3,Annual,12,banana
kolkata,west_bengal,alluvial,80,30,59,26.7,87.0,6.7,194.4,Kharif,7,rice
kochi,kerala,loamy,89,35,44,27.8,88.4,6.3,311.3,Annual,7,pepper
ludhiana,punjab,alluvial,108,51,42,12.8,63.0,7.2,51.3,Kharif,9,maize
jaipur,rajasthan,sandy,53,15,27,36.3,37.8,8.0,90.9,Rabi,12,barley
pune,maharashtra,black,95,37,49,33.6,68.9,6.0,129.0,Kharif,8,cotton
kochi,kerala,loamy,67,55,47,30.1,83.5,6.0,337.9,Annual,1,coconut
madurai,tamil_nadu,loamy,54,48,39,31.7,53.2,6.9,199.8,Kharif,7,groundnut
jodhpur,rajasthan,sandy,21,32,36,33.7,17.6,8.1,41.8,Kharif,7,pulses
siliguri,west_bengal,laterite,82,35,48,26.0,70.2,5.2,253.7,Kharif,6,maize
jaipur,rajasthan,sandy,39,16,28,40.2,31.0,7.5,59.2,Rabi,11,barley
kolkata,west_bengal,alluvial,83,37,62,25.9,62.2,6.2,149.6,Kharif,6,rice
nagpur,maharashtra,black,61,50,67,32.5,53.7,6.6,106.8,Kharif,6,cotton
nagpur,maharashtra,black,90,42,61,33.0,62.9,6.5,93.1,Kharif,6,cotton
ludhiana,punjab,alluvial,110,54,48,11.4,69.2,7.4,106.6,Kharif,6,sugarcane
lucknow,uttar_pradesh,alluvial,68,31,64,30.9,42.2,6.9,142.0,Kharif,6,sugarcane
ludhiana,punjab,alluvial,88,67,42,18.8,58.5,6.9,179.7,Rabi,11,wheat
thiruvananthapuram,kerala,laterite,79,42,49,30.4,85.8,5.9,254.7,Kharif,6,tapioca
madurai,tamil_nadu,loamy,83,40,53,24.5,52.6,6.6,89.5,Annual,8,sugarcane
thiruvananthapuram,kerala,laterite,90,46,43,26.8,78.7,5.9,220.9,Kharif,7,rice
amritsar,punjab,alluvial,78,49,53,18.3,63.8,7.3,77.3,Rabi,11,wheat
jodhpur,rajasthan,sandy,50,19,34,29.5,21.1,7.5,51.1,Kharif,7,millets
madurai,tamil_nadu,loamy,65,46,61,32.9,71.5,6.4,107.4,Annual,1,sugarcane
pune,maharashtra,black,54,40,47,27.7,59.3,7.0,144.0,Rabi,12,gram
kolkata,west_bengal,alluvial,90,40,59,24.2,69.9,6.1,277.7,Annual,10,tea
mahendragarh,haryana,sandy_loam,25,35,27,27.3,38.7,7.2,82.5,Rabi,12,mustard
thiruvananthapuram,kerala,laterite,74,36,47,25.5,87.8,5.5,196.2,Annual,12,coconut
mahendragarh,haryana,sandy_loam,34,24,34,14.9,43.4,7.8,25.7,Rabi,11,gram
mahendragarh,haryana,sandy_loam,43,20,27,32.1,48.8,7.3,92.1,Rabi,12,barley
amritsar,punjab,alluvial,81,66,43,30.7,35.6,7.2,85.5,Rabi,11,wheat
thiruvananthapuram,kerala,laterite,63,39,49,25.9,84.6,6.0,387.1,Kharif,8,rice
thiruvananthapuram,kerala,laterite,54,33,39,31.1,72.4,5.3,297.2,Kharif,9,tapioca
kochi,kerala,loamy,93,57,55,30.4,86.4,6.1,413.6,Annual,6,banana
nagpur,maharashtra,black,75,36,57,33.7,64.1,7.0,184.0,Kharif,8,cotton
pune,maharashtra,black,80,55,39,18.2,48.6,6.9,165.2,Rabi,11,gram
kolkata,west_bengal,alluvial,65,40,62,25.2,80.8,6.7,209.1,Kharif,9,jute
nagpur,maharashtra,black,100,64,42,21.7,65.8,6.5,92.8,Annual,7,oranges
pune,maharashtra,black,74,48,45,32.8,48.1,6.6,78.8,Kharif,9,sorghum
ludhiana,punjab,alluvial,103,51,37,23.8,54.0,7.1,113.9,Kharif,9,maize
jaipur,rajasthan,sandy,48,40,35,27.0,26.5,7.3,43.4,Rabi,2,barley
madurai,tamil_nadu,loamy,55,39,61,28.5,63.7,6.1,118.7,Annual,6,sugarcane
pune,maharashtra,black,54,41,37,25.4,46.7,6.7,95.0,Kharif,6,cotton
kochi,kerala,loamy,100,38,74,30.4,75.1,5.8,405.6,Annual,4,banana
thiruvananthapuram,kerala,laterite,87,54,55,24.1,81.8,6.5,389.3,Annual,7,coconut
lucknow,uttar_pradesh,alluvial,74,53,58,15.5,49.3,6.9,165.0,Rabi,12,wheat
jaipur,rajasthan,sandy,46,40,22,26.9,20.6,8.2,89.8,Kharif,9,pulses
pune,maharashtra,black,85,30,58,17.6,65.6,6.3,163.3,Kharif,9,groundnut
jaipur,rajasthan,sandy,46,22,33,29.4,37.6,8.1,89.1,Kharif,8,pulses
nagpur,maharashtra,black,96,60,42,34.6,36.1,7.0,106.2,Kharif,6,soybean
madurai,tamil_nadu,loamy,74,36,65,27.1,63.4,6.2,95.2,Kharif,9,groundnut
